,ID,Resort,Latitude_x,Longitude_x,Country_x,Continent_x,Price,Season,Highest point,Lowest point,Beginner slopes,Intermediate slopes,Difficult slopes,Total slopes,Longest run,Snow cannons,Surface lifts,Chair lifts,Gondola lifts,Total lifts,Lift capacity,Child friendly,Snowparks,Nightskiing,Summer skiing,Resort Name,Continent_y,Country_y,State/Province,URL,Altitude,Easy,Intermediate ,Difficult,Aerial tramway/reversible ropeway,Circulating ropeway/gondola lift,Chairlift,T-bar lift/platter/button lift ,Rope tow/beginner lift,Sunkid Moving Carpet,Adult,Youth,Child,Ski resort size ,"Slope offering, variety of runs ",Lifts and cable cars ,Snow reliability ,Slope preparation ,"Access, on-site parking ","Orientation (trail map, information boards, sign-postings) ",Cleanliness and hygiene ,Environmentally friendly ski operation ,Friendliness of staff ,"Mountain restaurants, ski huts, gastronomy ",Après-ski ,Accommodation offering directly at the slopes and lifts ,Families and children ,Beginners ,"Advanced skiers, freeriders ",Snow parks ,Cross-country skiing and trails ,Combined installation (gondola and chair),People mover,Cog railway,Funicular,Helicopter for Heli-skiing,Snow caterpillars for Cat-skiing,harvesine_distance,Month,Latitude_y,Longitude_y,Snow
0,125,Sierra Nevada-Pradollano,37.0957512,-3.387885004,Spain,Europe,47,November - May,3282,2100,50,49,7,106,0,350,5,14,2,21,59205,Yes,Yes,Yes,No,sierra-nevada-pradollano,Europe,Spain,Andalusia (Andalucía),http://www.skiresort.info/ski-resort/sierra-nevada-pradollano/,3282,50.0,49.0,7.8,,0.0,0.0,0.0,,0.0,"€ 48,- ",€ 43.50,"€ 35,-",4.2,4.4,4.0,,,,,,,,,,,,,,,,,,,,,,4139.561373261732,2022-12-01,37.125,-3.125,3.54
1,411,Port del Comte,42.1694417,1.5696298,Spain,Europe,33,Unknown,2310,1745,20,15,5,40,0,0,11,5,0,16,13750,Yes,No,No,No,port-del-comte,Europe,Spain,Catalonia (Catalunya),http://www.skiresort.info/ski-resort/port-del-comte/,2310,20.0,15.0,5.0,,,0.0,0.0,0.0,,"€ 33,- ",0,€ 26.50,3.0,3.3,2.9,,,,,,,,,,,,,,,,,0.0,,,,,4691.666621059525,2022-11-01,41.625,-7.625,0.39
2,495,Puigmal,42.3950066,2.1088833,France,Europe,0,Unknown,2700,1830,9,15,7,31,0,0,11,2,0,13,11865,Yes,No,No,No,puigmal,Europe,France,Occitania,http://www.skiresort.info/ski-resort/puigmal/,2700,9.7,15.2,7.1,,,0.0,0.0,0.0,,0,0,0,2.8,3.1,2.2,,,,,,,,,,,,,,,,,,,,,,4718.834168582916,2022-12-01,42.375,-2.625,8.27
3,241,Cerler,42.5927404,0.5384221,Spain,Europe,42,December - April,2621,1505,35,27,14,76,0,0,10,9,0,19,20670,Yes,Yes,No,No,cerler,Europe,Spain,Aragon,http://www.skiresort.info/ski-resort/cerler/,2630,37.0,29.0,15.0,,,0.0,0.0,0.0,0.0,"€ 43,- ",0,€ 34.50,3.9,4.2,3.8,,,,,,,,,,,,,,,,,0.0,,,,,4736.402629275573,2022-11-01,41.875,-8.625,12.2
4,131,Formigal,42.7741349,-0.3608611,Spain,Europe,44,November - April,2251,1501,47,70,20,137,6,440,9,11,0,20,29450,Yes,Yes,No,No,formigal,Europe,Spain,Aragon,http://www.skiresort.info/ski-resort/formigal/,2251,47.0,70.0,20.0,,,0.0,0.0,,0.0,"€ 45,- ",0,"€ 36,-",4.0,5.0,4.0,4.0,5.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,5.0,5.0,4.0,1.0,,0.0,,,,,4756.403371369973,2022-01-01,42.625,-3.875,5.51
5,266,Piau Engaly,42.78020745,0.158613507,France,Europe,37,November - April,2560,1420,35,22,8,65,0,40,5,5,0,10,13615,Yes,Yes,No,No,piau-engaly,Europe,France,Occitania,http://www.skiresort.info/ski-resort/piau-engaly/,2528,35.0,22.0,8.0,,,0.0,0.0,0.0,,"€ 37,- ","€ 32,-","€ 32,-",3.6,3.9,3.5,,,,,,,,,,,,,,,,,,,,,,4756.968410568148,2022-01-01,42.625,-3.875,5.51
6,289,Peyragudes,42.7807436,0.45611311,France,Europe,40,December - April,2400,1600,30,26,4,60,0,230,8,9,0,17,22791,Yes,Yes,No,No,peyragudes,Europe,France,Occitania,http://www.skiresort.info/ski-resort/peyragudes/,2400,30.0,26.0,4.0,,,0.0,0.0,0.0,,€ 39.50 ,0,"€ 34,-",3.4,3.6,3.5,,,,,,,,,,,,,,,,,0.0,,,,,4757.219790853124,2022-01-01,42.625,-3.875,5.51
7,447,Guzet,42.7762455,1.3131615,France,Europe,31,December - March,2100,1100,20,14,6,40,0,100,11,4,0,15,11130,Yes,Yes,No,No,guzet,Europe,France,Occitania,http://www.skiresort.info/ski-resort/guzet/,2100,20.0,14.0,6.0,,,0.0,0.0,,,€ 31.50 ,0,€ 27.50,3.1,3.4,2.5,,,,,,,,,,,,,,,,,,,,,,4758.309605539724,2022-03-01,37.625,22.125,5.12
8,187,Saint-Lary-Soulan,42.816936,0.3219538,France,Europe,42,December - April,1600,812,60,30,10,100,3,290,17,11,3,31,38733,Yes,Yes,Yes,No,saint-lary-soulan,Europe,France,Occitania,http://www.skiresort.info/ski-resort/saint-lary-soulan/,2515,60.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,"€ 42,- ",€ 36.50,€ 36.50,4.0,4.3,3.3,,,,,,,,,,,,,,,,,,,,,,4761.134610475407,2022-03-01,37.375,22.625,19.69
9,311,Les Angles,43.0835762,0.0062129,France,Europe,38,November - April,2376,1600,22,23,10,55,0,363,15,4,1,20,21787,Yes,Yes,Yes,No,les-angles,Europe,France,Occitania,http://www.skiresort.info/ski-resort/les-angles/,2376,22.0,23.0,10.0,,0.0,0.0,0.0,,,"€ 39,- ",0,"€ 35,-",3.3,3.6,3.1,,,,,,,,,,,,,,,,,0.0,,,,,4790.675135193586,2022-03-01,42.375,8.625,2.36
